ms,MemFree,Buffers,Cached,Active,Inactive,SwapFree,pgpgin,pgpgout,pgalloc_dma,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,Disk_Read,Disk_Write,Net_Sent,Net_Received,Tcp_Listen,Tcp_Established,Tcp_Syn,Tcp_TimeWait,Tcp_Close,nr_active_file,nr_inactive_file
1778585202832,2674089984,52371456,711659520,300843008,788410368,1073737728,788047,35399,6,1402506,64634,0,734590,2998,807042560,36305920,275942,80521,7,2,0,0,0,72549,100072
1778585203145,2672345088,52379648,713551872,300912640,789344256,1073737728,788159,35507,6,1404213,64642,0,734771,2998,807075328,36359168,276392,80601,7,2,0,0,0,72585,100123
1778585203443,2697011200,52379648,713744384,301150208,765861888,1073737728,788159,35507,6,1413472,64677,0,737341,2998,807075328,36359168,276762,80641,7,2,0,0,0,72642,100098
1778585203734,2696507392,52379648,713744384,301150208,761466880,1073737728,788159,35507,6,1417274,64677,0,739060,2998,807075328,36359168,278108,80897,7,2,0,0,0,72642,100098
1778585204027,2696507392,52379648,713744384,301150208,764346368,1073737728,788159,35507,6,1420443,64677,0,741567,2998,807075328,36359168,278226,80937,7,2,0,0,0,72642,100098
1778585204321,2696507392,52379648,713744384,301150208,763285504,1073737728,788163,35507,6,1425126,64680,0,745380,2998,807124480,36359168,279068,81057,7,2,0,0,0,72642,100098
1778585204622,2692636672,52387840,713797632,301355008,769601536,1073737728,788227,35815,6,1427173,64732,0,747794,2999,807144960,36674560,280712,81393,7,2,0,0,0,72692,100062
1778585204919,2688536576,52396032,713789440,301809664,772972544,1073737728,788275,35815,6,1429218,64836,0,749178,2999,807194112,36674560,281884,81821,7,2,0,0,0,72803,99988
1778585205210,2687504384,52436992,713973760,301920256,778301440,1073737728,788351,35815,6,1430913,64852,0,750627,2999,807271936,36674560,282002,81861,7,2,0,0,0,72830,99964
1778585205504,2679246848,52436992,713981952,301969408,786341888,1073737728,788359,35815,6,1432745,64881,0,752863,2999,807280128,36674560,282120,81901,7,2,0,0,0,72841,99955
1778585205798,2677452800,52445184,714125312,302120960,787554304,1073737728,788511,35815,6,1434983,64911,0,754097,2999,807755264,36674560,283262,82021,7,2,0,0,0,72878,99918
1778585206093,2673582080,52445184,715382784,302518272,794439680,1073737728,789315,35815,6,1436754,65039,0,756108,3008,808259072,36674560,286196,83945,7,2,0,0,0,72975,99995
1778585206383,2673582080,52445184,715386880,302518272,794439680,1073737728,789315,35815,6,1438418,65039,0,756110,3008,808259072,36674560,288534,85273,7,2,0,0,0,72975,99995
1778585206672,2673324032,52445184,715669504,302702592,794619904,1073737728,789315,35815,6,1440191,65039,0,756376,3008,808259072,36674560,289944,85985,7,2,0,0,0,73018,100019
1778585206961,2672578560,52445184,715673600,302702592,794746880,1073737728,789315,35815,6,1442261,65039,0,756914,3008,808259072,36674560,291222,86573,7,2,0,0,0,73018,100019
1778585207250,2672578560,52445184,715673600,302702592,794746880,1073737728,789315,35815,6,1443929,65039,0,756914,3008,808259072,36674560,291340,86613,7,2,0,0,0,73018,100019
1778585207538,2672578560,52445184,715673600,302702592,794746880,1073737728,789315,35815,6,1445592,65039,0,756914,3008,808259072,36674560,291614,86789,7,2,0,0,0,73018,100019
1778585207826,2672062464,52457472,715677696,302714880,795054080,1073737728,789315,36135,6,1447772,65039,0,757814,3008,808259072,37002240,312848,106497,7,2,0,0,0,73021,100019
1778585208123,2671030272,52457472,715677696,302866432,795963392,1073737728,789315,36135,6,1449438,65105,0,758082,3008,808259072,37002240,313880,107485,7,2,0,0,0,73058,99982
1778585208412,2671030272,52457472,715677696,302866432,795963392,1073737728,789315,36135,6,1451102,65105,0,758083,3008,808259072,37002240,314052,107613,7,2,0,0,0,73058,99982
1778585208700,2670772224,52457472,715681792,302985216,795918336,1073737728,789315,36135,6,1452782,65105,0,758084,3008,808259072,37002240,314546,108029,7,2,0,0,0,73087,99953
1778585208991,2670284800,52457472,715681792,302985216,795910144,1073737728,789315,36135,6,1454957,65105,0,758884,3008,808259072,37002240,316230,108553,7,2,0,0,0,73087,99954
1778585209279,2670284800,52457472,715681792,302985216,795910144,1073737728,789315,36135,6,1456620,65105,0,758885,3008,808259072,37002240,316444,108593,7,2,0,0,0,73087,99954
1778585209570,2670284800,52457472,715681792,302985216,795910144,1073737728,789315,36135,6,1458284,65105,0,758885,3008,808259072,37002240,317634,109337,7,2,0,0,0,73087,99954
1778585209858,2670284800,52457472,715681792,302985216,795967488,1073737728,789315,36135,6,1460464,65105,0,759684,3008,808259072,37002240,318878,109585,7,2,0,0,0,73087,99954
1778585210146,2670284800,52457472,715681792,302985216,795967488,1073737728,789315,36135,6,1462130,65105,0,759684,3008,808259072,37002240,319130,109713,7,2,0,0,0,73087,99954
