timestamp,attack,event
1780162328.765372,campaign,start
1780162328.791358,nmap discovery,start
1780162330.989815,nmap discovery,end
1780162340.990284,nmap discovery,observe
1780162340.990755,nmap discovery,start
1780162343.048749,nmap discovery,end
1780162353.049373,nmap discovery,observe
1780162353.049812,nmap discovery,start
1780162355.195783,nmap discovery,end
1780162365.196613,nmap discovery,observe
1780162365.19741,nmap discovery,start
1780162367.107513,nmap discovery,end
1780162377.108457,nmap discovery,observe
1780162377.10914,nmap discovery,start
1780162379.141293,nmap discovery,end
1780162389.142008,nmap discovery,observe
1780162389.142652,nmap discovery,start
1780162391.063049,nmap discovery,end
1780162401.063668,nmap discovery,observe
1780162401.064528,nmap discovery,start
1780162403.227365,nmap discovery,end
1780162413.227962,nmap discovery,observe
1780162413.228494,nmap discovery,start
1780162415.122408,nmap discovery,end
1780162425.123077,nmap discovery,observe
1780162425.12391,nmap discovery,start
1780162427.068546,nmap discovery,end
1780162437.069333,nmap discovery,observe
1780162437.069954,nmap discovery,start
1780162439.024785,nmap discovery,end
1780162449.025313,nmap discovery,observe
1780162449.026524,restart madness and flush output signal,sent
1780162449.027394,nmap port scanning,start
1780162573.867492,nmap port scanning,end
1780162573.867955,nmap port scanning,start
1780162713.770936,nmap port scanning,end
1780162713.771626,nmap port scanning,start
1780162844.360267,nmap port scanning,end
1780162844.360904,nmap port scanning,start
1780162955.871684,nmap port scanning,end
1780162955.872005,nmap port scanning,start
1780163086.123246,nmap port scanning,end
1780163086.123842,nmap port scanning,start
1780163195.121444,nmap port scanning,end
1780163195.121905,nmap port scanning,start
1780163307.244139,nmap port scanning,end
1780163307.244428,nmap port scanning,start
1780163428.833336,nmap port scanning,end
1780163428.833671,nmap port scanning,start
1780163549.373449,nmap port scanning,end
1780163549.374248,nmap port scanning,start
1780163598.796026,nmap port scanning,end
1780163598.796302,nmap port scanning,start
1780163729.968849,nmap port scanning,end
1780163729.969501,nmap port scanning,start
1780163850.305121,nmap port scanning,end
1780163850.306085,nmap port scanning,start
1780163959.401311,nmap port scanning,end
1780163959.40172,nmap port scanning,start
1780164080.109458,nmap port scanning,end
1780164080.110352,nmap port scanning,start
1780164197.151646,nmap port scanning,end
1780164197.152399,nmap port scanning,start
1780164323.95443,nmap port scanning,end
1780164323.955052,nmap port scanning,start
1780164376.58435,nmap port scanning,end
1780164376.58514,nmap port scanning,start
1780164503.936927,nmap port scanning,end
1780164503.93797,nmap port scanning,start
1780164614.065127,nmap port scanning,end
1780164614.065906,nmap port scanning,start
1780164676.731882,nmap port scanning,end
1780164676.732306,nmap port scanning,start
1780164799.005722,nmap port scanning,end
1780164799.00644,nmap port scanning,start
1780164916.644856,nmap port scanning,end
1780164916.645736,nmap port scanning,start
1780164979.519335,nmap port scanning,end
1780164979.519843,nmap port scanning,start
1780165041.521018,nmap port scanning,end
1780165041.52155,nmap port scanning,start
1780165156.409702,nmap port scanning,end
1780165156.410774,nmap port scanning,start
1780165290.745762,nmap port scanning,end
1780165290.746051,nmap port scanning,start
1780165417.810987,nmap port scanning,end
1780165417.811729,nmap port scanning,start
1780165547.714046,nmap port scanning,end
1780165547.715142,nmap port scanning,start
1780165668.881122,nmap port scanning,end
1780165668.882394,nmap port scanning,start
1780165725.107046,nmap port scanning,end
